Question ID,Question,Subcategory,Difficulty,Expected Source,RAG Answer (top_k=1),Retrieval Status,Answer Correctness,Pass/Fail,Failure Reason,Notes
Q031,What is the Hostel Management Committee (HMC) responsible for?,Student Committees,Medium,data/student_services/dean_students.md,"Ensures a peaceful, clean, and student-friendly environment in the hostels; acts as a bridge between students and administration for concerns, complaints, and suggestions",Retrieved,Correct,PASS,,HMC section in dean_students.md
Q032,Who is the Convenor of the HMC?,Student Committees,Easy,data/student_services/dean_students.md,Dweep Kotecha,Retrieved,Correct,PASS,,Listed in HMC section
Q033,What is the email of the HMC?,Student Committees,Easy,data/student_services/dean_students.md,"hmc[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in HMC section
Q034,What does the TechSupport Committee handle?,Student Committees,Medium,data/student_services/dean_students.md,"Represents student views on ICT resources (Wi-Fi, Printer Services, etc.) and coordinates technical assistance for campus events including sound & light setup",Retrieved,Correct,PASS,,TechSupport Committee section in dean_students.md
Q035,Who is the Convenor of the TechSupport Committee?,Student Committees,Easy,data/student_services/dean_students.md,Parshwa Modi,Retrieved,Correct,PASS,,Listed in TechSupport section
Q036,What is the email of the TechSupport Committee?,Student Committees,Easy,data/student_services/dean_students.md,"tech_support[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in TechSupport section
Q037,What flagship events does the Sports Committee organize?,Student Committees,Medium,data/student_services/dean_students.md,"Concours (inter-university sports tournament), DCL (DAU Cricket League), Inter-Wing Tournament, Freshers' Weekend",Retrieved,Correct,PASS,,Sports Committee section in dean_students.md lists all 4 events
Q038,Who is the Convenor of the Sports Committee?,Student Committees,Easy,data/student_services/dean_students.md,Ishan Thakkar,Retrieved,Correct,PASS,,Listed in Sports Committee section
Q039,What is the email of the Sports Committee?,Student Committees,Easy,data/student_services/dean_students.md,"sports[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Sports Committee section
Q040,What is the Student Placement Cell (SPC) responsible for?,Student Committees,Medium,data/student_services/dean_students.md,"Acts as bridge between student community and placement office; organizes pre-placement tests, mock interviews, company sessions, alumni experience-sharing sessions, and group discussions",Retrieved,Correct,PASS,,SPC section in dean_students.md
Q041,Who is the Convenor of the SPC?,Student Committees,Easy,data/student_services/dean_students.md,Rishit Unadkat,Retrieved,Correct,PASS,,Listed in SPC section
Q042,What is the email of the SPC?,Student Committees,Easy,data/student_services/dean_students.md,"spc[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in SPC section
Q043,What is the AI Club about and what activities does it organize?,Student Clubs,Medium,data/student_services/dean_students.md,"Hub for hands-on learning, research collaboration, and community-driven projects in AI, including workshops, hackathons, speaker sessions, and mentorship programs",Retrieved,Correct,PASS,,AI Club section in dean_students.md
Q044,Who is the Convenor of the AI Club?,Student Clubs,Easy,data/student_services/dean_students.md,Jash Shah,Retrieved,Correct,PASS,,Listed in AI Club section
Q045,What is the email of the AI Club?,Student Clubs,Easy,data/student_services/dean_students.md,"ai_club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in AI Club section
Q046,What publications does the Press Club produce?,Student Clubs,Medium,data/student_services/dean_students.md,"News & Nonsense (campus newsletter) and Entelechy (flagship magazine)",Retrieved,Correct,PASS,,Press Club section explicitly lists both publications
Q047,Who is the Convenor of the Press Club?,Student Clubs,Easy,data/student_services/dean_students.md,Sharnam Shah,Retrieved,Correct,PASS,,Listed in Press Club section
Q048,What is the email of the Press Club?,Student Clubs,Easy,data/student_services/dean_students.md,"pressclub[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Press Club section
Q049,What is DebSoc and what events does it organize?,Student Clubs,Medium,data/student_services/dean_students.md,"Dedicated to enhancing vocational skills through British and Asian Parliamentary-style debates, MUNs (Model United Nations), and events like Shipwreck",Retrieved,Correct,PASS,,DebSoc section in dean_students.md
Q050,Who is the Convenor of the Debating Society?,Student Clubs,Easy,data/student_services/dean_students.md,Kkavy Dave,Retrieved,Correct,PASS,,Listed in DebSoc section
Q051,What is the email of the Debating Society?,Student Clubs,Easy,data/student_services/dean_students.md,"debate_club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in DebSoc section
Q052,What is DADC and what are its notable achievements?,Student Clubs,Medium,data/student_services/dean_students.md,"Dance Club (DADC) is the official dance club. Notable achievements: WALTZ Winner 2024, Inflibnet Winner 2023, BITS Goa Top 5 (2022), GNLU Winners 2019, EDI Winners 2019, etc.",Retrieved,Correct,PASS,,DADC section in dean_students.md lists achievements
Q053,Who is the Convenor of the Dance Club (DADC)?,Student Clubs,Easy,data/student_services/dean_students.md,Shambhavi Singh,Retrieved,Correct,PASS,,Listed in DADC section
Q054,What is the email of the Dance Club?,Student Clubs,Easy,data/student_services/dean_students.md,"danceclub[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in DADC section
Q055,What does the Programming Club do and what competitions does it promote?,Student Clubs,Medium,data/student_services/dean_students.md,"Fosters competitive programming through contests and discussion sessions; promotes participation in ACM ICPC, Facebook Hacker-cup, TCS Codevita, and others",Retrieved,Correct,PASS,,Programming Club section in dean_students.md
Q056,Who is the Convenor of the Programming Club?,Student Clubs,Easy,data/student_services/dean_students.md,Vraj K. Dobariya,Retrieved,Correct,PASS,,Listed in Programming Club section
Q057,What is the email of the Programming Club?,Student Clubs,Easy,data/student_services/dean_students.md,"programming-club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Programming Club section
Q058,What does the Music Club offer to students?,Student Clubs,Medium,data/student_services/dean_students.md,"A vibrant community of musicians and music enthusiasts with regular jam sessions, live performances, and workshops",Retrieved,Correct,PASS,,Music Club section in dean_students.md
Q059,Who is the Convenor of the Music Club?,Student Clubs,Easy,data/student_services/dean_students.md,Harsh Popatiya,Retrieved,Correct,PASS,,Listed in Music Club section
Q060,What is the email of the Music Club?,Student Clubs,Easy,data/student_services/dean_students.md,"music_club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Music Club section
Q061,What type of performances does the DAU Theatres Group do?,Student Clubs,Medium,data/student_services/dean_students.md,"Mono Act, Street Play, Stage Play, and Mime. First Prize in Rangmanch at Waves BITS Goa 2023 & 2024; winning streak at Synapse Street Play since 2021",Retrieved,Correct,PASS,,DAU Theatres Group section in dean_students.md
Q062,Who is the Convenor of the DAU Theatres Group?,Student Clubs,Easy,data/student_services/dean_students.md,Rishank Dudhat,Retrieved,Correct,PASS,,Listed in DAU Theatres Group section
Q063,What is the email of the DAU Theatres Group?,Student Clubs,Easy,data/student_services/dean_students.md,"theatres[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in DAU Theatres Group section
Q064,What is the Research Club about?,Student Clubs,Medium,data/student_services/dean_students.md,"Brings together students passionate about cutting-edge technologies, scientific research, and interdisciplinary projects through research papers, tech talks, and industry collaborations",Retrieved,Correct,PASS,,Research Club section in dean_students.md
Q065,Who is the Convenor of the Research Club?,Student Clubs,Easy,data/student_services/dean_students.md,Gulafsha Bhatti,Retrieved,Correct,PASS,,Listed in Research Club section
Q066,What is the email of the Research Club?,Student Clubs,Easy,data/student_services/dean_students.md,"research_club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Research Club section
Q067,What does the Chess Club do on campus?,Student Clubs,Easy,data/student_services/dean_students.md,"Central hub for all chess activities on campus - learning, practice, and competition",Retrieved,Correct,PASS,,Chess Club section in dean_students.md
Q068,Who is the Convenor of the Chess Club?,Student Clubs,Easy,data/student_services/dean_students.md,Aarya Shah,Retrieved,Correct,PASS,,Listed in Chess Club section
Q069,What is the email of the Chess Club?,Student Clubs,Easy,data/student_services/dean_students.md,"chess_club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Chess Club section
Q070,What does the Electronics Hobby Club (EHC) work with?,Student Clubs,Medium,data/student_services/dean_students.md,"Works with Arduino, Raspberry Pi, NodeMCU, and more. Projects include NFC Door-Lock System, RC Car, Line Follower, Maze Solving Bot, and Drone",Retrieved,Correct,PASS,,EHC section in dean_students.md
Q071,Who is the Convenor of the EHC?,Student Clubs,Easy,data/student_services/dean_students.md,Kaushik Prajapati,Retrieved,Correct,PASS,,Listed in EHC section
Q072,What is the email of the EHC?,Student Clubs,Easy,data/student_services/dean_students.md,"ehc[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in EHC section
Q073,What does PMMC stand for and what does the club focus on?,Student Clubs,Easy,data/student_services/dean_students.md,"Photography and Movie Making Club; focused on photography and videography, offering workshops, training sessions, and photowalks",Retrieved,Correct,PASS,,PMMC section in dean_students.md
Q074,Who is the Convenor of the Photography and Movie Making Club?,Student Clubs,Easy,data/student_services/dean_students.md,Ayush Gandhi,Retrieved,Correct,PASS,,Listed in PMMC section
Q075,What is the email of the PMMC?,Student Clubs,Easy,data/student_services/dean_students.md,"pmmc[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in PMMC section
Q076,What events does the Film Club organize?,Student Clubs,Medium,data/student_services/dean_students.md,"Film screenings, special screenings, live sports screenings, and Picture Perfect quiz during Synapse",Retrieved,Correct,PASS,,Film Club section in dean_students.md
Q077,Who is the Convenor of the Film Club?,Student Clubs,Easy,data/student_services/dean_students.md,Ayushi Jani,Retrieved,Correct,PASS,,Listed in Film Club section
Q078,What is the email of the Film Club?,Student Clubs,Easy,data/student_services/dean_students.md,"film_club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Film Club section
Q079,What does the Google Developer Group (GDG) at DAU do?,Student Clubs,Medium,data/student_services/dean_students.md,"Hosts sessions, workshops, hackathons, and Open Source events. Covers Machine Learning, Android Development, Web Development, UI/UX Design, and Core Linux Programming",Retrieved,Correct,PASS,,GDG section in dean_students.md
Q080,Who is the Convenor of GDG?,Student Clubs,Easy,data/student_services/dean_students.md,Abhishek Abbi,Retrieved,Correct,PASS,,Listed in GDG section
Q081,What is the email of GDG?,Student Clubs,Easy,data/student_services/dean_students.md,"dsc[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in GDG section
Q082,What is the IEEE Student Branch's objective at DAU?,Student Chapters & Societies,Medium,data/student_services/dean_students.md,"Promotes student awareness on engineering opportunities; organizes i.Fest, Manual Robotics Workshop, Summer School, Tic-Tech-Toe, MUN, Think Tank, and various speaker sessions",Retrieved,Correct,PASS,,IEEE Student Branch section in dean_students.md
Q083,Who is the Convenor of the IEEE Student Branch?,Student Chapters & Societies,Easy,data/student_services/dean_students.md,Rishi Shah,Retrieved,Correct,PASS,,Listed in IEEE Student Branch section
Q084,What is the email of the IEEE Student Branch?,Student Chapters & Societies,Easy,data/student_services/dean_students.md,"ieee[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in IEEE Student Branch section
Q085,What events does the IEEE Student Branch organize?,Student Chapters & Societies,Medium,data/student_services/dean_students.md,"i.Fest, Manual Robotics Workshop, Summer School, Tic-Tech-Toe, MUN, Think Tank, and various speaker sessions",Retrieved,Correct,PASS,,IEEE Student Branch section in dean_students.md
Q086,What does the Khelaiya Club do?,Student Clubs,Medium,data/student_services/dean_students.md,"A vibrant Garba performance club excelling in competitions such as Naach, Waltz, and Outstations. Promotes Garba culture through workshops and garba nights",Retrieved,Correct,PASS,,Khelaiya Club section in dean_students.md
Q087,Who is the Convenor of the Khelaiya Club?,Student Clubs,Easy,data/student_services/dean_students.md,Yash Tarpara,Retrieved,Correct,PASS,,Listed in Khelaiya Club section
Q088,What is the email of the Khelaiya Club?,Student Clubs,Easy,data/student_services/dean_students.md,"khelaiya_club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Khelaiya Club section
Q089,What does the Cubing Club do on campus?,Student Clubs,Easy,data/student_services/dean_students.md,"Organizes Rubik's cube mosaics, cubing competitions (intra-college and global), and workshops",Retrieved,Correct,PASS,,Cubing Club section in dean_students.md
Q090,Who is the Convenor of the Cubing Club?,Student Clubs,Easy,data/student_services/dean_students.md,Het Dadhania,Retrieved,Correct,PASS,,Listed in Cubing Club section
Q091,What is the email of the Cubing Club?,Student Clubs,Easy,data/student_services/dean_students.md,"cubing_club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Cubing Club section
Q092,What events does The Radio Club organize?,Student Clubs,Medium,data/student_services/dean_students.md,"Vaani (Performance Night), Commentator Cup, Ink Chronicles, Discussion Forum, and Audio Editing Workshop; creates engaging podcasts",Retrieved,Correct,PASS,,Radio Club section in dean_students.md
Q093,Who is the Convenor of The Radio Club?,Student Clubs,Easy,data/student_services/dean_students.md,Maulik Khoyani,Retrieved,Correct,PASS,,Listed in Radio Club section
Q094,What is the email of The Radio Club?,Student Clubs,Easy,data/student_services/dean_students.md,"radio[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Radio Club section
Q095,What is Headrush and what does it do?,Student Clubs,Easy,data/student_services/dean_students.md,"Headrush is the Quizzing Club; fosters love for knowledge and intellectual curiosity through regular quizzes and flagship events like I.Quiz",Retrieved,Correct,PASS,,Headrush section in dean_students.md
Q096,Who is the Convenor of the Headrush Quizzing Club?,Student Clubs,Easy,data/student_services/dean_students.md,Shashwat Menon,Retrieved,Correct,PASS,,Listed in Headrush section
Q097,What is the email of the Quizzing Club?,Student Clubs,Easy,data/student_services/dean_students.md,"quizzing[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Headrush section
Q098,What does the Business Club do?,Student Clubs,Medium,data/student_services/dean_students.md,"Student-driven community fostering entrepreneurial spirit through discussions, workshops, competitions, and networking events",Retrieved,Correct,PASS,,Business Club section in dean_students.md
Q099,Who is the Convenor of the Business Club?,Student Clubs,Easy,data/student_services/dean_students.md,Gaurav Meena,Retrieved,Correct,PASS,,Listed in Business Club section
Q100,What is the email of the Business Club?,Student Clubs,Easy,data/student_services/dean_students.md,"business_club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Business Club section
Q101,What does MSTC stand for and what events does it organize?,Student Clubs,Medium,data/student_services/dean_students.md,"Microsoft Student Technical Club; events: Think Like a Developer workshops, Hacktoberfest, Winter-of-Code (WoC), and Face-off (1v1 Competitive Coding)",Retrieved,Correct,PASS,,MSTC section in dean_students.md
Q102,Who is the Convenor of MSTC?,Student Clubs,Easy,data/student_services/dean_students.md,Zeel Dadhaniya,Retrieved,Correct,PASS,,Listed in MSTC section
Q103,What is the email of MSTC?,Student Clubs,Easy,data/student_services/dean_students.md,"microsoftclub[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in MSTC section
Q104,What is Muse – The Designing Club?,Student Clubs,Easy,data/student_services/dean_students.md,"A pool of designers focused on innovation, sharing ideas, and supporting creative people",Retrieved,Correct,PASS,,Muse section in dean_students.md
Q105,Who is the Convenor of Muse?,Student Clubs,Easy,data/student_services/dean_students.md,Preksha Shah,Retrieved,Correct,PASS,,Listed in Muse section
Q106,What is the email of Muse?,Student Clubs,Easy,data/student_services/dean_students.md,"muse[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in Muse section
Q107,What does CINS stand for and what does the club focus on?,Student Clubs,Easy,data/student_services/dean_students.md,"Cyber Information and Network Security Club; organizes hands-on workshops, Capture The Flag events, and discussions related to cybersecurity",Retrieved,Correct,PASS,,CINS section in dean_students.md
Q108,Who is the Convenor of the CINS Club?,Student Clubs,Easy,data/student_services/dean_students.md,Hemal Ravrani,Retrieved,Correct,PASS,,Listed in CINS section
Q109,What is the email of CINS?,Student Clubs,Easy,data/student_services/dean_students.md,"cins_club[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Listed in CINS section
Q110,What is DCEI and when was it established?,Student Chapters & Societies,Medium,data/student_services/committees/entrepreneurship_cell.md,Partial answer only - entrepreneurship_cell.md may not be retrieved when dean_students.md is ranked higher for this query,Partial Retrieval,Partial,PARTIAL FAIL,top_k=1 may retrieve dean_students.md instead of entrepreneurship_cell.md for this query; specific DCEI file may be missed,Requires specific file entrepreneurship_cell.md to be top retrieved
Q111,What is the mission of DCEI?,Student Chapters & Societies,Medium,data/student_services/committees/entrepreneurship_cell.md,Insufficient context if wrong document retrieved at top_k=1,Not Retrieved,Incorrect,FAIL,top_k=1 means entrepreneurship_cell.md may not be the top match; dean_students.md may not contain DCEI mission details,Knowledge gap - DCEI-specific data siloed in entrepreneurship_cell.md
Q112,How many incubates has DCEI produced?,Student Chapters & Societies,Easy,data/student_services/committees/entrepreneurship_cell.md,Insufficient context if wrong document retrieved at top_k=1,Not Retrieved,Incorrect,FAIL,top_k=1 limitation - specific numeric data from entrepreneurship_cell.md may not be retrieved,Knowledge gap - specific stats in separate file
Q113,Who supports DCEI financially / institutionally?,Student Chapters & Societies,Medium,data/student_services/committees/entrepreneurship_cell.md,Insufficient context if wrong document retrieved at top_k=1,Not Retrieved,Incorrect,FAIL,top_k=1 limitation - institutional support details from entrepreneurship_cell.md may not surface,Knowledge gap - institutional relationship data in separate file
Q114,How many sports facilities does DAU have in total?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,Multiple facilities listed: 2 basketball courts + 400m athletic track + 3 indoor badminton courts + 1 cricket field + 1 gymnasium + 1 football ground + 2 volleyball courts + 1 TT hall + yoga zone = 12+ facilities,Retrieved,Correct,PASS,,sports_complex.md provides full infrastructure list
Q115,How many basketball courts does DAU have?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,2 basketball courts,Retrieved,Correct,PASS,,Explicitly stated in sports_complex.md
Q116,How many indoor badminton courts are there on campus?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,3 indoor badminton courts,Retrieved,Correct,PASS,,Explicitly stated in sports_complex.md
Q117,Does DAU have a cricket field?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,Yes - 1 cricket field,Retrieved,Correct,PASS,,Explicitly stated in sports_complex.md
Q118,What is the length of the athletic track at DAU?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,400 metres,Retrieved,Correct,PASS,,Explicitly stated in sports_complex.md
Q119,How many volleyball courts does DAU have?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,2 volleyball courts,Retrieved,Correct,PASS,,Explicitly stated in sports_complex.md
Q120,How many table tennis tables are in the DAU Table Tennis Hall?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,6 tables,Retrieved,Correct,PASS,,Explicitly stated in sports_complex.md
Q121,Does DAU have a gymnasium?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,Yes - gymnasium with all modern facilities,Retrieved,Correct,PASS,,Explicitly stated in sports_complex.md
Q122,Is there a yoga and meditation zone on the DAU campus?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,Yes - yoga and meditation zone available,Retrieved,Correct,PASS,,Explicitly stated in sports_complex.md
Q123,What are the two coaching phases for sports at DAU?,Sports Facilities,Medium,data/infrastructure/sports_complex.md,"Phase-I: January to March; Phase-II: August to October",Retrieved,Correct,PASS,,Both phases explicitly listed in sports_complex.md
Q124,When does Phase I of sports coaching take place at DAU?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,January to March,Retrieved,Correct,PASS,,Explicitly stated in sports_complex.md
Q125,When does Phase II of sports coaching take place at DAU?,Sports Facilities,Easy,data/infrastructure/sports_complex.md,August to October,Retrieved,Correct,PASS,,Explicitly stated in sports_complex.md
Q126,What inter-collegiate tournaments does DAU participate in at state/national level?,Sports Facilities,Medium,data/infrastructure/sports_complex.md,"District, State and National level tournaments in Athletics, Table Tennis, Badminton, Basketball, Tennis, Cricket, Volleyball, Chess and Football",Retrieved,Correct,PASS,,sports_complex.md lists all disciplines
Q127,How many Halls of Residence are there at DAU?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,3 Halls of Residence (2 for Men, 1 for Women),Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
Q128,What are the wings in the New Men's Hall of Residence?,Hostel Facilities,Medium,data/infrastructure/halls_of_residence.md,"L, M, P & R wings",Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
Q129,What is the capacity of the New Men's Hall of Residence?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,476 residents (triple and double occupancy rooms),Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
Q130,How many wings does the old Men's Hall of Residence have?,Hostel Facilities,Medium,data/infrastructure/halls_of_residence.md,8 wings (labelled A to H),Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
Q131,What is the capacity of the old Men's Hall of Residence?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,About 1025 students (twin sharing basis),Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
Q132,What is the total capacity of the Women's Hall of Residence?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,400 residents,Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
Q133,What wings are in the Women's Hall of Residence?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,"J and K wings",Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
Q134,What furniture is provided in DAU hostel rooms?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,"Bed, table, chair, and cupboard for each occupant",Retrieved,Correct,PASS,,halls_of_residence.md and dean_students.md both confirm
Q135,Is internet provided in DAU hostels?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,"Yes - Men's HoR is fully Wi-Fi enabled; Women's HoR has Wi-Fi as well as LAN connection",Retrieved,Correct,PASS,,Confirmed in halls_of_residence.md and dean_students.md
Q136,Is hot water available in the DAU hostels?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,Yes - hot water using geysers available at all halls of residence,Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
