Question ID,Question,Expected Source,Retrieved Source,Answer Quality,Pass/Fail,Notes
Q041,Who is the Convenor of the SPC?,data/student_services/dean_students.md, |  | Student Placement Cell (SPC),Good,Pass,Answer generated successfully.
Q042,What is the email of the SPC?,data/student_services/dean_students.md, |  | Student Placement Cell (SPC),Good,Pass,Answer generated successfully.
Q043,What is the AI Club about and what activities does it organize?,data/student_services/dean_students.md,Student_services | Students | AI Club,Good,Pass,Answer generated successfully.
Q044,Who is the Convenor of the AI Club?,data/student_services/dean_students.md, |  | AI Club,Good,Pass,Answer generated successfully.
Q045,What is the email of the AI Club?,data/student_services/dean_students.md,Student_services | Students | AI Club,Good,Pass,Answer generated successfully.
Q046,What publications does the Press Club produce?,data/student_services/dean_students.md, |  | Press Club,Good,Pass,Answer generated successfully.
Q047,Who is the Convenor of the Press Club?,data/student_services/dean_students.md, |  | Press Club,Good,Pass,Answer generated successfully.
Q048,What is the email of the Press Club?,data/student_services/dean_students.md, |  | Press Club,Good,Pass,Answer generated successfully.
Q049,What is DebSoc and what events does it organize?,data/student_services/dean_students.md, |  | The Debating Society (DebSoc),Good,Pass,Answer generated successfully.
Q050,Who is the Convenor of the Debating Society?,data/student_services/dean_students.md, |  | The Debating Society (DebSoc),Good,Pass,Answer generated successfully.
Q051,What is the email of the Debating Society?,data/student_services/dean_students.md, |  | The Debating Society (DebSoc),Good,Pass,Answer generated successfully.
Q052,What is DADC and what are its notable achievements?,data/student_services/dean_students.md, |  | Dance Club (DADC),Good,Pass,Answer generated successfully.
Q053,Who is the Convenor of the Dance Club (DADC)?,data/student_services/dean_students.md, |  | Dance Club (DADC),Good,Pass,Answer generated successfully.
Q054,What is the email of the Dance Club?,data/student_services/dean_students.md, |  | Dance Club (DADC),Good,Pass,Answer generated successfully.
Q055,What does the Programming Club do and what competitions does it promote?,data/student_services/dean_students.md, |  | Programming Club,Good,Pass,Answer generated successfully.
Q056,Who is the Convenor of the Programming Club?,data/student_services/dean_students.md, |  | Programming Club,Good,Pass,Answer generated successfully.
Q057,What is the email of the Programming Club?,data/student_services/dean_students.md, |  | Programming Club,Good,Pass,Answer generated successfully.
Q058,What does the Music Club offer to students?,data/student_services/dean_students.md, |  | Music Club,Good,Pass,Answer generated successfully.
Q059,Who is the Convenor of the Music Club?,data/student_services/dean_students.md, |  | Music Club,Good,Pass,Answer generated successfully.
Q060,What is the email of the Music Club?,data/student_services/dean_students.md, |  | Music Club,Good,Pass,Answer generated successfully.
Q061,What type of performances does the DAU Theatres Group do?,data/student_services/dean_students.md,Student_services | Students | DAU Theatres Group,Good,Pass,Answer generated successfully.
Q062,Who is the Convenor of the DAU Theatres Group?,data/student_services/dean_students.md,Student_services | Students | Cultural Committee,Good,Pass,Answer generated successfully.
Q063,What is the email of the DAU Theatres Group?,data/student_services/dean_students.md,Student_services | Students | DAU Theatres Group,Good,Pass,Answer generated successfully.
Q064,What is the Research Club about?,data/student_services/dean_students.md, |  | Research Club,Good,Pass,Answer generated successfully.
Q065,Who is the Convenor of the Research Club?,data/student_services/dean_students.md, |  | Research Club,Good,Pass,Answer generated successfully.
Q066,What is the email of the Research Club?,data/student_services/dean_students.md, |  | Research Club,Good,Pass,Answer generated successfully.
Q067,What does the Chess Club do on campus?,data/student_services/dean_students.md,Student_services | Students | Chess Club,Good,Pass,Answer generated successfully.
Q068,Who is the Convenor of the Chess Club?,data/student_services/dean_students.md, |  | Chess Club,Good,Pass,Answer generated successfully.
Q069,What is the email of the Chess Club?,data/student_services/dean_students.md, |  | Chess Club,Good,Pass,Answer generated successfully.
Q070,What does the Electronics Hobby Club (EHC) work with?,data/student_services/dean_students.md, |  | Electronics Hobby Club (EHC),Good,Pass,Answer generated successfully.
Q071,Who is the Convenor of the EHC?,data/student_services/dean_students.md,administration | AnnualReport 2024-25 pdf | Main Content,Poor,Fail,RAG fallback triggered (data missing or ambiguous).
Q072,What is the email of the EHC?,data/student_services/dean_students.md,Student_services | Students | Electronics Hobby Club,Good,Pass,Answer generated successfully.
Q073,What does PMMC stand for and what does the club focus on?,data/student_services/dean_students.md, |  | Photography and Movie Making Club (PMMC),Good,Pass,Answer generated successfully.
Q074,Who is the Convenor of the Photography and Movie Making Club?,data/student_services/dean_students.md, |  | Photography and Movie Making Club (PMMC),Good,Pass,Answer generated successfully.
Q075,What is the email of the PMMC?,data/student_services/dean_students.md, |  | Photography and Movie Making Club (PMMC),Good,Pass,Answer generated successfully.
Q076,What events does the Film Club organize?,data/student_services/dean_students.md,Student_services | Students | Film Club,Good,Pass,Answer generated successfully.
Q077,Who is the Convenor of the Film Club?,data/student_services/dean_students.md, |  | Film Club,Good,Pass,Answer generated successfully.
Q078,What is the email of the Film Club?,data/student_services/dean_students.md,Student_services | Students | Film Club,Good,Pass,Answer generated successfully.
Q079,What does the Google Developer Group (GDG) at DAU do?,data/student_services/dean_students.md,Student_services | Students | Google Developer Group,Good,Pass,Answer generated successfully.
Q080,Who is the Convenor of GDG?,data/student_services/dean_students.md, |  | Google Developer Group (GDG),Good,Pass,Answer generated successfully.
Q081,What is the email of GDG?,data/student_services/dean_students.md, |  | Google Developer Group (GDG),Good,Pass,Answer generated successfully.
Q082,What is the IEEE Student Branch's objective at DAU?,data/student_services/dean_students.md,Student_services | Students | IEEE,Good,Pass,Answer generated successfully.
Q083,Who is the Convenor of the IEEE Student Branch?,data/student_services/dean_students.md, |  | IEEE Student Branch,Good,Pass,Answer generated successfully.
Q084,What is the email of the IEEE Student Branch?,data/student_services/dean_students.md, |  | IEEE Student Branch,Good,Pass,Answer generated successfully.
Q085,What events does the IEEE Student Branch organize?,data/student_services/dean_students.md, |  | IEEE Student Branch,Good,Pass,Answer generated successfully.
Q086,What does the Khelaiya Club do?,data/student_services/dean_students.md, |  | Khelaiya Club,Good,Pass,Answer generated successfully.
Q087,Who is the Convenor of the Khelaiya Club?,data/student_services/dean_students.md, |  | Khelaiya Club,Good,Pass,Answer generated successfully.
Q088,What is the email of the Khelaiya Club?,data/student_services/dean_students.md, |  | Khelaiya Club,Good,Pass,Answer generated successfully.
Q089,What does the Cubing Club do on campus?,data/student_services/dean_students.md,Student_services | Students | Cubing Club,Good,Pass,Answer generated successfully.
Q090,Who is the Convenor of the Cubing Club?,data/student_services/dean_students.md, |  | Cubing Club,Good,Pass,Answer generated successfully.
Q091,What is the email of the Cubing Club?,data/student_services/dean_students.md, |  | Cubing Club,Good,Pass,Answer generated successfully.
Q092,What events does The Radio Club organize?,data/student_services/dean_students.md, |  | The Radio Club,Good,Pass,Answer generated successfully.
Q093,Who is the Convenor of The Radio Club?,data/student_services/dean_students.md, |  | The Radio Club,Good,Pass,Answer generated successfully.
Q094,What is the email of The Radio Club?,data/student_services/dean_students.md, |  | The Radio Club,Good,Pass,Answer generated successfully.
Q095,What is Headrush and what does it do?,data/student_services/dean_students.md,Student_services | Students | Headrush: Quizzing Club,Good,Pass,Answer generated successfully.
Q096,Who is the Convenor of the Headrush Quizzing Club?,data/student_services/dean_students.md, |  | Headrush: Quizzing Club,Good,Pass,Answer generated successfully.
Q097,What is the email of the Quizzing Club?,data/student_services/dean_students.md, |  | Headrush: Quizzing Club,Good,Pass,Answer generated successfully.
Q098,What does the Business Club do?,data/student_services/dean_students.md,Student_services | Students | Business Club,Good,Pass,Answer generated successfully.
Q099,Who is the Convenor of the Business Club?,data/student_services/dean_students.md, |  | Business Club,Good,Pass,Answer generated successfully.
Q100,What is the email of the Business Club?,data/student_services/dean_students.md, |  | Business Club,Good,Pass,Answer generated successfully.
Q101,What does MSTC stand for and what events does it organize?,data/student_services/dean_students.md, |  | Microsoft Student Technical Club (MSTC),Good,Pass,Answer generated successfully.
Q102,Who is the Convenor of MSTC?,data/student_services/dean_students.md, |  | Microsoft Student Technical Club (MSTC),Good,Pass,Answer generated successfully.
Q103,What is the email of MSTC?,data/student_services/dean_students.md, |  | Microsoft Student Technical Club (MSTC),Good,Pass,Answer generated successfully.
Q104,What is Muse – The Designing Club?,data/student_services/dean_students.md,Student_services | Students | Muse- The Designing Club,Good,Pass,Answer generated successfully.
Q105,Who is the Convenor of Muse?,data/student_services/dean_students.md,Student_services | Students | Muse- The Designing Club,Good,Pass,Answer generated successfully.
Q106,What is the email of Muse?,data/student_services/dean_students.md,Student_services | Students | Muse- The Designing Club,Good,Pass,Answer generated successfully.
Q107,What does CINS stand for and what does the club focus on?,data/student_services/dean_students.md, |  | Cyber Information and Network Security Club (CINS),Good,Pass,Answer generated successfully.
Q108,Who is the Convenor of the CINS Club?,data/student_services/dean_students.md, |  | Cyber Information and Network Security Club (CINS),Good,Pass,Answer generated successfully.
Q109,What is the email of CINS?,data/student_services/dean_students.md, |  | Cyber Information and Network Security Club (CINS),Good,Pass,Answer generated successfully.
Q110,What is DCEI and when was it established?,data/student_services/committees/entrepreneurship_cell.md, |  | Overview,Good,Pass,Answer generated successfully.
Q111,What is the mission of DCEI?,data/student_services/committees/entrepreneurship_cell.md, |  | Mission,Good,Pass,Answer generated successfully.
Q112,How many incubates has DCEI produced?,data/student_services/committees/entrepreneurship_cell.md, |  | Vision,Poor,Fail,RAG fallback triggered (data missing or ambiguous).
Q113,Who supports DCEI financially / institutionally?,data/student_services/committees/entrepreneurship_cell.md, |  | Overview,Good,Pass,Answer generated successfully.
Q114,How many sports facilities does DAU have in total?,data/infrastructure/sports_complex.md,Announcements | Concours 2025: A Celebration of Sports and Spirit at Dhirubhai Ambani University | Overview,Poor,Fail,Incorrect context retrieved but answer generated.
Q115,How many basketball courts does DAU have?,data/infrastructure/sports_complex.md,administration | Tenders/EE2526005 pdf | Main Content,Poor,Fail,Incorrect context retrieved but answer generated.
Q116,How many indoor badminton courts are there on campus?,data/infrastructure/sports_complex.md, |  | Infrastructure,Good,Pass,Answer generated successfully.
Q117,Does DAU have a cricket field?,data/infrastructure/sports_complex.md,Student_services | Students | Sports Committee,Poor,Fail,Incorrect context retrieved but answer generated.
Q118,What is the length of the athletic track at DAU?,data/infrastructure/sports_complex.md,Student_services | Students | Sports Committee,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q119,How many volleyball courts does DAU have?,data/infrastructure/sports_complex.md,administration | AnnualReport 2024-25 pdf | Main Content,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q120,How many table tennis tables are in the DAU Table Tennis Hall?,data/infrastructure/sports_complex.md,Student_services | Students | **1) How are the hostels of DAU (Formerly DA-IICT)?**,Good,Pass,Answer generated successfully.
Q121,Does DAU have a gymnasium?,data/infrastructure/sports_complex.md, |  | Hostel FAQs,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q122,Is there a yoga and meditation zone on the DAU campus?,data/infrastructure/sports_complex.md,Announcements | DAU celebrated International Day of Yoga 2025 | Main Content,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q123,What are the two coaching phases for sports at DAU?,data/infrastructure/sports_complex.md,Student_services | Students | Sports Committee,Good,Pass,Answer generated successfully.
Q124,When does Phase I of sports coaching take place at DAU?,data/infrastructure/sports_complex.md,Announcements | Concours 2025: A Celebration of Sports and Spirit at Dhirubhai Ambani University | Overview,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q125,When does Phase II of sports coaching take place at DAU?,data/infrastructure/sports_complex.md,Announcements | Concours 2025: A Celebration of Sports and Spirit at Dhirubhai Ambani University | Overview,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q126,What inter-collegiate tournaments does DAU participate in at state/national level?,data/infrastructure/sports_complex.md,Student_services | Students | Sports Committee,Poor,Fail,Incorrect context retrieved but answer generated.
Q127,How many Halls of Residence are there at DAU?,data/infrastructure/halls_of_residence.md,Student_services | Students | **1) How are the hostels of DAU (Formerly DA-IICT)?**,Poor,Fail,Incorrect context retrieved but answer generated.
Q128,What are the wings in the New Men's Hall of Residence?,data/infrastructure/halls_of_residence.md,Infrastructure | Halls of Residence | Overview,Good,Pass,Answer generated successfully.
Q129,What is the capacity of the New Men's Hall of Residence?,data/infrastructure/halls_of_residence.md,Infrastructure | Halls of Residence | Overview,Good,Pass,Answer generated successfully.
Q130,How many wings does the old Men's Hall of Residence have?,data/infrastructure/halls_of_residence.md,Infrastructure | Halls of Residence | Overview,Good,Pass,Answer generated successfully.
Q131,What is the capacity of the old Men's Hall of Residence?,data/infrastructure/halls_of_residence.md,Infrastructure | Halls of Residence | Overview,Good,Pass,Answer generated successfully.
Q132,What is the total capacity of the Women's Hall of Residence?,data/infrastructure/halls_of_residence.md,Infrastructure | Halls of Residence | Main Content,Good,Pass,Answer generated successfully.
Q133,What wings are in the Women's Hall of Residence?,data/infrastructure/halls_of_residence.md,Infrastructure | Halls of Residence | Main Content,Good,Pass,Answer generated successfully.
Q134,What furniture is provided in DAU hostel rooms?,data/infrastructure/halls_of_residence.md, |  | Hostel FAQs,Poor,Fail,Incorrect context retrieved but answer generated.
Q135,Is internet provided in DAU hostels?,data/infrastructure/halls_of_residence.md, |  | Hostel FAQs,Poor,Fail,Incorrect context retrieved but answer generated.
Q136,Is hot water available in the DAU hostels?,data/infrastructure/halls_of_residence.md, |  | Hostel FAQs,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q137,Is there a laundry/dhobi facility at DAU hostels?,data/infrastructure/halls_of_residence.md, |  | Hostel FAQs,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q138,Are there TV rooms in DAU hostels?,data/infrastructure/halls_of_residence.md, |  | Hostel FAQs,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q139,Are mattresses provided in DAU hostel rooms?,data/infrastructure/halls_of_residence.md, |  | Hostel FAQs,Poor,Fail,Incorrect context retrieved but answer generated.
Q140,Is hostel accommodation mandatory for B.Tech students?,data/infrastructure/halls_of_residence.md,Admissions | Undergraduate Admissions - NRI and Foreign National (DAFS) Category | Post-Admission Procedures,Poor,Fail,Incorrect context retrieved but answer generated.
Q141,Can PG students get hostel accommodation at DAU?,data/infrastructure/halls_of_residence.md,Admissions | Admissions - M.Sc. (Agriculture Analytics) | Is hostel facility available in DAU (Formerly DA-IICT) for the M.Sc. (AA) Program?,Poor,Fail,Incorrect context retrieved but answer generated.
Q142,Is there a mess (dining hall) inside the DAU hostel?,data/student_services/dean_students.md,Student_services | Students | **1) How are the hostels of DAU (Formerly DA-IICT)?**,Good,Pass,Answer generated successfully.
Q143,Is there a guest room available in the Women's hostel and for what purpose?,data/infrastructure/halls_of_residence.md,administration | National Education Policy 2020 | Gender Parity,Poor,Fail,Incorrect context retrieved but answer generated.
Q144,What security arrangements exist for the Women's Hall of Residence?,data/infrastructure/halls_of_residence.md,administration | National Education Policy 2020 | Gender Parity,Good,Pass,Answer generated successfully.
Q145,Are CCTV cameras installed in the Men's hostel?,data/student_services/dean_students.md, |  | Hostel FAQs,Good,Pass,Answer generated successfully.
Q146,Who is the Warden for the Men's Hall of Residence?,data/student_services/dean_students.md,Student_services | Students | Hall of Residence (Men),Good,Pass,Answer generated successfully.
Q147,Who is the Warden for the Women's Hall of Residence?,data/student_services/dean_students.md,Student_services | Students | Asst Warden,Good,Pass,Answer generated successfully.
Q148,Who is the Resident Warden at DAU and what is their email?,data/student_services/dean_students.md,Student_services | Students | Resident Warden,Good,Pass,Answer generated successfully.
Q149,What is the contact number of the Resident Warden?,data/student_services/dean_students.md,Student_services | Students | Resident Warden,Good,Pass,Answer generated successfully.
Q150,Who are the Hostel Supervisors and what are their contacts?,data/student_services/dean_students.md, |  | Hostel Supervisors,Good,Pass,Answer generated successfully.
Q151,How is room allocation done for new students in the hostel?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 1. Room Allocation,Good,Pass,Answer generated successfully.
Q152,Can a student request a room change in the hostel?,data/student_services/rules/hostel_rules_and_regulations.md,student_services | hall of residence | Main Content,Good,Pass,Answer generated successfully.
Q153,For how many years can a UG student avail hostel accommodation?,data/student_services/rules/hostel_rules_and_regulations.md,Student_services | Students | **1) How are the hostels of DAU (Formerly DA-IICT)?**,Good,Pass,Answer generated successfully.
Q154,What is the curfew (return to campus) time for hostel residents?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 2. Behavior and Discipline,Good,Pass,Answer generated successfully.
Q155,Can residents leave the campus between midnight and 6 AM?,data/student_services/rules/hostel_rules_and_regulations.md,student_services | hall of residence | Main Content,Good,Pass,Answer generated successfully.
Q156,What must a resident do if they plan to stay outside the hostel overnight?,data/student_services/rules/hostel_rules_and_regulations.md,student_services | hall of residence | Main Content,Good,Pass,Answer generated successfully.
Q157,Is alcohol allowed in the DAU hostel?,data/student_services/rules/hostel_rules_and_regulations.md,student_services | hall of residence | Main Content,Good,Pass,Answer generated successfully.
Q158,Is smoking allowed on the DAU campus?,data/student_services/rules/hostel_rules_and_regulations.md,Student_services | ICC | Overview,Good,Pass,Answer generated successfully.
Q159,Can men enter the Women's Hall of Residence?,data/student_services/rules/hostel_rules_and_regulations.md,Infrastructure | Halls of Residence | Main Content,Good,Pass,Answer generated successfully.
Q160,What is the fine for having someone stay in your room without permission?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 2. Behavior and Discipline,Good,Pass,Answer generated successfully.
Q161,Is ragging allowed at DAU and what are the consequences?,data/student_services/rules/hostel_rules_and_regulations.md,policies | Students / ANTI-RAGGING Committees & Squad Details | Main Content,Poor,Fail,Incorrect context retrieved but answer generated.
Q162,Can students bring food inside the Halls of Residence?,data/student_services/rules/hostel_rules_and_regulations.md,student_services | hall of residence | Main Content,Good,Pass,Answer generated successfully.
Q163,What is the fine for bringing food inside the hostel rooms?,data/student_services/rules/hostel_rules_and_regulations.md,student_services | hall of residence | Main Content,Good,Pass,Answer generated successfully.
Q164,Which electrical appliances are prohibited in DAU hostel rooms?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 2. Behavior and Discipline,Good,Pass,Answer generated successfully.
Q165,Is cooking allowed in the Halls of Residence?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 2. Behavior and Discipline,Good,Pass,Answer generated successfully.
Q166,Can students park 4-wheelers (cars) on the DAU campus?,data/student_services/rules/hostel_rules_and_regulations.md,Academics | Vehicle Rules for Students | Main Content,Poor,Fail,Incorrect context retrieved but answer generated.
Q167,Can students keep 2-wheelers on campus? What are the parking rules?,data/student_services/rules/hostel_rules_and_regulations.md, |  | General Rules,Good,Pass,Answer generated successfully.
Q168,What happens if a student violates vehicle or traffic rules on campus for the first time?,data/student_services/rules/hostel_rules_and_regulations.md,administration | vehicle rules for students | Main Content,Good,Pass,Answer generated successfully.
Q169,Are visitors allowed inside the Halls of Residence?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 5. Visitors,Good,Pass,Answer generated successfully.
Q170,What is the guest room rent for parents visiting the hostel?,data/student_services/rules/hostel_rules_and_regulations.md,student_services | hall of residence | Main Content,Good,Pass,Answer generated successfully.
Q171,What is the guest room rent for non-resident DAU students staying in the hostel?,data/student_services/rules/hostel_rules_and_regulations.md,Research | Summer Research Internship at DAU | Stipend and Housing,Good,Pass,Answer generated successfully.
Q172,What is the fine for entertaining a visitor without prior intimation?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 2. Not Wearing a Helmet,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q173,Are pets allowed in the Halls of Residence?,data/student_services/rules/hostel_rules_and_regulations.md,student_services | hall of residence | Main Content,Good,Pass,Answer generated successfully.
Q174,What is the fine for losing a hostel room key?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 6. Security,Good,Pass,Answer generated successfully.
Q175,What is the fine for leaving a hostel room unlocked and vacant?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 6. Security,Good,Pass,Answer generated successfully.
Q176,Can residents use their own locks in the hostel room?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 6. Security,Good,Pass,Answer generated successfully.
Q177,What is the minimum fine for breaking any hostel rule?,data/student_services/rules/hostel_rules_and_regulations.md, |  | 8. Hostel Management,Good,Pass,Answer generated successfully.
Q178,Who are the members of the Hostel Management Committee?,data/student_services/rules/hostel_rules_and_regulations.md, |  | Hostel Management Committee (HMC),Good,Pass,Answer generated successfully.
Q179,How many food courts are there on the DAU campus?,data/infrastructure/food_court.md,Infrastructure | Food Court | Food Court,Good,Pass,Answer generated successfully.
Q180,What types of cuisine are available at DAU food courts?,data/infrastructure/food_court.md,Infrastructure | Food Court | Food Court,Good,Pass,Answer generated successfully.
Q181,Is non-vegetarian and egg food available on the DAU campus?,data/infrastructure/food_court.md,Infrastructure | Food Court | Food Court,Good,Pass,Answer generated successfully.
Q182,Are Amul products available at the DAU food courts?,data/infrastructure/food_court.md,Infrastructure | Food Court | Food Court,Good,Pass,Answer generated successfully.
Q183,How are the food courts managed at DAU?,data/infrastructure/food_court.md,Infrastructure | Food Court | Food Court,Good,Pass,Answer generated successfully.
Q184,Is there a food court at DAU specifically serving breakfast and snacks?,data/infrastructure/food_court.md,Infrastructure | Food Court | Food Court,Good,Pass,Answer generated successfully.
Q185,Is there a food court at DAU serving fruit and fruit juices?,data/infrastructure/food_court.md,Infrastructure | Food Court | Food Court,Good,Pass,Answer generated successfully.
Q186,How many doctors visit the DAU Medical Centre daily?,data/infrastructure/medical_facility.md,Infrastructure | Medical Facility | Overview,Good,Pass,Answer generated successfully.
Q187,What are the visiting hours of Dr. Arvindsinh Vaghela at the Medical Centre?,data/infrastructure/medical_facility.md, |  | 1.2 Visiting Doctors,Good,Pass,Answer generated successfully.
Q188,What are the visiting hours of Dr. Charulata Harshe at the Medical Centre?,data/infrastructure/medical_facility.md, |  | 1.2 Visiting Doctors,Good,Pass,Answer generated successfully.
Q189,What are the visiting hours of Dr. Anjana Ved at the Medical Centre?,data/infrastructure/medical_facility.md, |  | 1.2 Visiting Doctors,Good,Pass,Answer generated successfully.
Q190,Are medical consultations at the DAU Medical Centre free for students?,data/infrastructure/medical_facility.md,Infrastructure | Medical Facility | Overview,Good,Pass,Answer generated successfully.
Q191,Are medicines dispensed at the Medical Centre free of charge?,data/infrastructure/medical_facility.md,Infrastructure | Medical Facility | Overview,Good,Pass,Answer generated successfully.
Q192,Which hospitals have signed an MoU with DAU for student medical treatment?,data/infrastructure/medical_facility.md, |  | 2. Group Mediclaim Insurance Coverage,Poor,Fail,Incorrect context retrieved but answer generated.
Q193,How far is Aashka Hospital from the DAU campus?,data/infrastructure/medical_facility.md, |  | How to Reach Us,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q194,Is there a 24x7 vehicle available for medical emergencies at DAU?,data/infrastructure/medical_facility.md, |  | Overview,Poor,Fail,Incorrect context retrieved but answer generated.
