priority,needs_reextract,file,issues,url,source_type
medium,False,academics/academic_policy_academic_requirements_mdes_cd_wef_2025-26_as_of_august_2025.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Academic Requirements_MDes(CD)_wef 2025-26  as of August 2025.pdf,PDF
medium,False,academics/academic_policy_academic_requirements_mdes_iuxd_wef_2025-26.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Academic Requirements_MDes(IUxD)_wef 2025-26  .pdf,PDF
medium,False,academics/academic_policy_academic_requirements_msc_ds_wef_2024-25_as_of_october_2024.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Academic requirements_MSc(DS)_wef_2024-25 as of October 2024.pdf,PDF
medium,False,academics/academic_policy_academic_requirements_mtech_cs_ml_program_wef_2021-22.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Academic Requirements_MTech(CS&ML)_Program_wef 2021-22.pdf,PDF
medium,False,academics/academic_policy_academic_requirements_ph_d_program_engg_science_wef_2019-20_as_of_october_2019.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Academic Requirements_Ph D Program_Engg&Science_wef 2019-20 as of October 2019.pdf,PDF
medium,False,academics/academic_policy_academic_requirements_ph_d_program_enggscience_wef_2024-25_as_of_july_2024.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Academic Requirements_Ph D Program_EnggScience_wef 2024-25 as of July 2024.pdf,PDF
medium,False,academics/academic_policy_appendix_-_specialization-wise_m_tech_ict_course_struture_from_2024-25.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Appendix - Specialization-wise M Tech (ICT) Course struture from 2024-25.pdf,PDF
medium,False,academics/academic_policy_appendix_i.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Appendix - Specialization-wise M Tech (ICT) Course struture from 2024-25.pdf,PDF
medium,False,academics/academic_policy_autumn_2024-25_first_in-sem_exam_shedule_other_than_ug_2024_batches_-_final_version.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Autumn 2024-25 First In-sem Exam  Shedule other than UG 2024 Batches - Final Version .pdf,PDF
medium,False,academics/academic_policy_b_tech_honours_in_ict_with_a.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Minor_RAS_Policy_Document.pdf,PDF
medium,False,academics/academic_policy_certificate_of_academic_accomplishment.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Certificate of Academic Accomplishment.pdf,PDF
medium,False,academics/academic_policy_committees_t_r_2024-25_updated.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Committees_T&R_2024-25 updated.pdf,PDF
medium,False,academics/academic_policy_da-iict_student_code_of_conduct_and_dac_guidelines.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/DA-IICT_Student Code of Conduct and DAC Guidelines.pdf,PDF
medium,False,academics/academic_policy_da-iict_vehicle_rules_for_students.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/DA-IICT_Vehicle Rules for Students.pdf,PDF
medium,False,academics/academic_policy_december.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Registration and Fees Payment Notice Winter 2025-26.pdf,PDF
medium,False,academics/academic_policy_disciplinary_guidelines_for_students.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Disciplinary guidelines for students.pdf,PDF
medium,False,academics/academic_policy_end_sem_exam_schedule_autumn_2024-25_final_version_updated.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/End Sem Exam Schedule Autumn 2024-25  Final Version_updated.pdf,PDF
medium,False,academics/academic_policy_end_sem_exam_schedule_winter_2023-24_final_version.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/End Sem Exam Schedule Winter 2023-24  Final Version.pdf,PDF
medium,False,academics/academic_policy_examination_rules_for_students.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Examination Rules for Students.pdf,PDF
medium,False,academics/academic_policy_february.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Policy for Late Registration or Course Adjustment and Fixation of Fine.pdf,PDF
medium,False,academics/academic_policy_five-year_dual_degree_program.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Five-Year Dual Degree Program.pdf,PDF
medium,False,academics/academic_policy_guidelines_of_exams_malpractices.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Guidelines of Exams Malpractices.pdf,PDF
medium,False,academics/academic_policy_international_students_rules_and_guidelines.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/International Students_Rules and Guidelines.pdf,PDF
medium,False,academics/academic_policy_internship_research_project_guidelines.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/M.Sc-DS-Project-Guidelines.pdf,PDF
medium,False,academics/academic_policy_m_sc-ds-project-guidelines.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/M.Sc-DS-Project-Guidelines.pdf,PDF
medium,False,academics/academic_policy_may.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Registration Notice Summer 2025-26.pdf,PDF
medium,False,academics/academic_policy_medical_facilities_emergency_procedure_for_students.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Medical Facilities & Emergency Procedure for Students.pdf,PDF
medium,False,academics/academic_policy_medical_facilities_for_students_of_da_ii.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Medical Facilities & Emergency Procedure for Students.pdf,PDF
medium,False,academics/academic_policy_policy_for_late_registration_or_course_adjustment_and_fixation_of_fine.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Policy for Late Registration or Course Adjustment and Fixation of Fine.pdf,PDF
medium,False,academics/academic_policy_registration_and_fees_payment_notice_winter_2025-26.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Registration and Fees Payment Notice Winter 2025-26.pdf,PDF
medium,False,academics/academic_policy_registration_notice_summer_2025-26.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Registration Notice Summer 2025-26.pdf,PDF
medium,False,academics/academic_policy_rules_guidelines_for_conducting_written_examination_for_pers.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Rules & Guidelines for Conducting written examination for Person with Benchmark Disabilities.pdf,PDF
medium,False,academics/academic_policy_rules_guidelines_for_conducting_written_examination_for_person_with_benchmark_disabilities.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Rules & Guidelines for Conducting written examination for Person with Benchmark Disabilities.pdf,PDF
medium,False,academics/academic_policy_schedule_for_winter_2024-25_end_semester_exams_final_version.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Schedule for Winter 2024-25  End Semester Exams_Final Version.pdf,PDF
medium,False,academics/academic_policy_schedule_for_winter_2024-25_first_semester_exams_final_version.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Schedule for Winter 2024-25 First Semester Exams_Final Version.pdf,PDF
medium,False,academics/academic_policy_schedule_for_winter_2024-25_second_in-semester_exams_final_version.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Schedule for Winter 2024-25 Second In-Semester Exams_Final Version.pdf,PDF
medium,False,academics/academic_policy_second_in_sem_exam_schedule_winter_2023-24_final_version.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Second In Sem Exam Schedule Winter 2023-24 Final Version.pdf,PDF
medium,False,academics/academic_policy_students_document_service.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Students Document Service.pdf,PDF
medium,False,academics/academic_policy_ug2024_autumn_2024-25_mid_semester_exam_schedule_final_version.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/UG2024 Autumn 2024-25 Mid Semester Exam Schedule Final Version.pdf,PDF
medium,False,academics/academic_policy_winter_2023-24_first_in_sem_exam_schedule_final_version.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Winter 2023-24 First In Sem Exam Schedule Final Version.pdf,PDF
medium,False,academics/academic_policy_year_dual_degree_btech_and_mtech.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Five-Year Dual Degree Program.pdf,PDF
medium,False,academics/accreditation/nirf_v2.md,CHUNK_OVERFLOW,https://www.daiict.ac.in/index.ph%70/nirf-national-institutional-ranking-framework,web
medium,False,academics/board_of_studies.md,CHUNK_OVERFLOW,https://www.daiict.ac.in/board-studies,web
medium,False,academics/careers/careers_current_position_v2.md,HEADING_MISSING,https://www.daiict.ac.in/current-position,web
medium,False,academics/careers/careers_non_teaching_staff_positions_v2.md,HEADING_MISSING,https://www.daiict.ac.in/non-teaching-staff-positions,web
medium,False,academics/careers/careers_old_positions_v2.md,CHUNK_OVERFLOW,https://www.daiict.ac.in/old-positions,web
medium,False,academics/course_policy_cs201_introduction_to_computational_physics_winter26_-_pratim_roy.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/CS201_Introduction to Computational Physics_Winter26 - Pratim Roy.pdf,PDF
medium,False,academics/course_policy_cs301-high-performance-computing-winter26_-_bhaskar_chaudhury.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/CS301-High-Performance-Computing-winter26 - Bhaskar Chaudhury.pdf,PDF
medium,False,academics/course_policy_cs302_modelling_simulation_winter25_-_arnab_kumar_ray.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/CS302_Modelling_Simulation_Winter25 - Arnab Kumar Ray.pdf,PDF
medium,False,academics/course_policy_cs374_computational_and_numerical_methods_autumn_2025_page_100.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_cs408_computationalfinance_winter26_-_arnab_kumar_ray.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/CS408_ComputationalFinance_Winter26 - Arnab Kumar Ray.pdf,PDF
medium,False,academics/course_policy_ct204_signals_and_systems_autumn_2025_page_58.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ct216_introduction_to_communication_systems_winter2026_-_yash_vasavada.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/CT216_Introduction_to_Communication_Systems_Winter2026 - Yash Vasavada.pdf,PDF
medium,False,academics/course_policy_ct303_digital_communication_autumn_2025_page_98.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ct423_wavelet_signal_processing_winter2026_-_hemant_patil.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/CT423_Wavelet Signal Processing_Winter2026 - hemant patil.pdf,PDF
medium,False,academics/course_policy_ct437_speech_communication_autumn_2025_page_234.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ct505_detection_estimation_theory_autumn_2025_page_251.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ct548_advancedwirelesscommunications_winter2026_-_manish_kumar.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/CT548_ AdvancedWirelessCommunications_Winter2026 - Manish Kumar.pdf,PDF
medium,False,academics/course_policy_ds4xx_understanding_economy_society_and_policy_a_data-driven_approach_autumn_2025_page_327.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ds603_data_structures_and_algorithms_in_python_autumn_2025_page_139.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ds604_introduction_to_data_management_autumn_2025_page_141.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ds605_fundamentals_of_machine_learning_autumn_2025_page_143.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ds611_-_numerical_optimization.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/DS611 - Numerical Optimization.pdf,PDF
medium,False,academics/course_policy_ds612-interactive_data_visualization-winter26_-_bhaskar_chaudhury.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/DS612-Interactive_Data_Visualization-winter26 - Bhaskar Chaudhury.pdf,PDF
medium,False,academics/course_policy_ds614_bigdataengineering_winter26_-_ankush_chander.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/DS614_BigDataEngineering_Winter26 - Ankush Chander.pdf,PDF
medium,False,academics/course_policy_ds615_neuralnetworksanddeeplearning_winter25_1_1_-_sourish_dasgupta.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/DS615_NeuralNetworksandDeepLearning_Winter25 (1) (1) - Sourish Dasgupta.pdf,PDF
medium,False,academics/course_policy_ed111_engineering_mathematics_i_autumn_2025_page_43.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ed112_daiict_autumn_2025_page_48.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ed121_engineeringmathematicsii_winter2026_-_prosenjit_kundu.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/ED121_EngineeringMathematicsII_Winter2026 - Prosenjit Kundu.pdf,PDF
medium,False,academics/course_policy_ed211_engineering_mathematics_iii_autumn_2025_page_83.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ed212_solid_state_devices_autumn_2025_page_85.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ed213_signal_processing_and_control_systems_autumn_2025_page_86.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ed223_entrepreneurshipandproductdesign_winter26_updated_-_amitava_ghosh.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/ED223_EntrepreneurshipAndProductDesign_Winter26_Updated - Amitava Ghosh.pdf,PDF
medium,False,academics/course_policy_ed224_analogelectronics_winter26_-_rutu_parekh.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/ED224_AnalogElectronics_Winter26 - Rutu Parekh.pdf,PDF
medium,False,academics/course_policy_ed311_digital_signal_processing_hardware_autumn_2025_page_112.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ed312_vlsi_design_autumn_2025_page_113.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_ed322_el464_vlsi_testing_and_validation_winter_2025_-_sreeja_rajendran.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/ED322_EL464 _VLSI Testing and Validation_Winter 2025 - Sreeja Rajendran.pdf,PDF
medium,False,academics/course_policy_el111_basic_electronic_circuits_autumn_2025_page_9.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_el401_physics_of_semiconductor_devices_autumn_2025_page_238.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_el453_nanoelectronics_autumn_2025_page_258.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_el467_digital_programming_autumn_2025_page_262.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_el469-vlsi_technology_winter2025_26_-_harpreet_singh_jattana.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/EL469-VLSI_TECHNOLOGY_WINTER2025 26 - Harpreet Singh Jattana.pdf,PDF
medium,False,academics/course_policy_el470_printed_and_flexible_electronics_autumn_2025_page_265.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_el495_sensors_and_instrumentation_winter26_ab_-_ajay_beniwal.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/EL495_Sensors_and_Instrumentation_Winter26_AB - Ajay Beniwal.pdf,PDF
medium,False,academics/course_policy_el526_vlsi_system_design_autumn_2025_page_325.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_el527_asic_design_winter26_-_rutu_parekh.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/EL527_ ASIC Design_Winter26 - Rutu Parekh.pdf,PDF
medium,False,academics/course_policy_hm106_approaches_to_indian_society_wintersemester2026_docx_-_ratna_bharati_bhamidipati.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/HM106_Approaches to Indian Society_WinterSemester2026 .docx - Ratna Bharati Bhamidipati.pdf,PDF
medium,False,academics/course_policy_hm116_principlesofeconomics_winter26_-_parul_gupta.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/HM116_PrinciplesofEconomics_Winter26 - Parul Gupta.pdf,PDF
medium,False,academics/course_policy_hm216_science_technology_society_autumn_2025_page_55.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_hm333_human_behavior_management_autumn_2025_page_288.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_hm377_theenglishnovelformandhistory_winter2026_-_amishal_modi.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/HM377_TheEnglishNovelFormandHistory_Winter2026 - Amishal Modi.pdf,PDF
medium,False,academics/course_policy_hm402_publicsinsouth_asia_winter26_-_shefali_jha.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/course_policies/HM402_PublicsinSouth Asia_Winter26 - Shefali Jha.pdf,PDF
medium,False,academics/course_policy_hm403_corporate_finance_autumn_2025_page_290.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_hm404_indian_society_and_governance_autumn_2025_page_293.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
medium,False,academics/course_policy_hm405_the_idea_of_india_swami_vivekananda_rabindranath_tagore_m_k_gandhi_autumn_2025_page_297.md,CHUNK_OVERFLOW,https://intranet.daiict.ac.in/academics/Course_Booklet_for_Autumn_2025-26.pdf,PDF
