Question ID,Question,Category,Subcategory,Difficulty,Expected Source,Expected Answer
ACAD-063,Where can I find information about autumn 2024-25 first in-sem exam shedule other than ug 2024 batches - final version?,Academic Policies,General Policy,Medium,academic_policy_autumn_2024-25_first_in-sem_exam_shedule_other_than_ug_2024_batches_-_final_version,Please refer to the academic policy documentation.
ACAD-064,Can you explain the policy for second in sem exam schedule winter 2023-24 final version?,Academic Policies,General Policy,Medium,academic_policy_second_in_sem_exam_schedule_winter_2023-24_final_version,Please refer to the academic policy documentation.
ACAD-065,Can you explain the policy for international students rules and guidelines?,Academic Policies,General Policy,Medium,academic_policy_international_students_rules_and_guidelines,Please refer to the academic policy documentation.
ACAD-066,What are the rules regarding btech i ict?,Academic Policies,General Policy,Medium,academic_policy_btech_i_ict,Please refer to the academic policy documentation.
ACAD-067,Where can I find information about internship research project guidelines?,Academic Policies,General Policy,Medium,academic_policy_internship_research_project_guidelines,Please refer to the academic policy documentation.
ACAD-068,What are the rules regarding end sem exam schedule autumn 2024-25 final version updated?,Academic Policies,General Policy,Medium,academic_policy_end_sem_exam_schedule_autumn_2024-25_final_version_updated,Please refer to the academic policy documentation.
ACAD-069,Can you explain the policy for b tech honours in ict with a?,Academic Policies,General Policy,Medium,academic_policy_b_tech_honours_in_ict_with_a,Please refer to the academic policy documentation.
ACAD-070,Where can I find information about guidelines of exams malpractices?,Academic Policies,General Policy,Medium,academic_policy_guidelines_of_exams_malpractices,Please refer to the academic policy documentation.
ACAD-071,What topics are covered in CS301-HIGH-PERFORMANCE-COMPUTING-WINTER26?,Course Policies,CS301-HIGH-PERFORMANCE-COMPUTING-WINTER26,Easy,course_policy_cs301-high-performance-computing-winter26_-_bhaskar_chaudhury,Check the course policy document for details.
ACAD-072,What is the grading policy for UNKNOWN?,Course Policies,UNKNOWN,Easy,course_policy_unknown_management_skills_for_professional_excellence_autumn_2025_page_329,Check the course policy document for details.
ACAD-073,What is the attendance policy?,General,Attendance,Easy,academic_policy_student,Please check the relevant academic policy.
ACAD-074,What are the rules regarding academic requirements mdes iuxd wef 2025-26?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_mdes_iuxd_wef_2025-26,Please refer to the academic policy documentation.
ACAD-075,Can you explain the policy for year dual degree btech and mtech?,Academic Policies,General Policy,Medium,academic_policy_year_dual_degree_btech_and_mtech,Please refer to the academic policy documentation.
ACAD-076,Where can I find information about registration and fees payment notice winter 2025-26?,Academic Policies,General Policy,Medium,academic_policy_registration_and_fees_payment_notice_winter_2025-26,Please refer to the academic policy documentation.
ACAD-077,Where can I find information about academic requirements m tech ec program wef 2019-20 as of october 2019?,Academic Policies,General Policy,Medium,academic_policy_academic_requirements_m_tech_ec_program_wef_2019-20_as_of_october_2019,Please refer to the academic policy documentation.
ACAD-078,Where can I find information about student leave policy?,Academic Policies,General Policy,Medium,academic_policy_student_leave_policy,Please refer to the academic policy documentation.
ACAD-079,Does the latest version of Machine Learning override the requirements listed in Minor Degree?,General,Policy Ambiguity,Hard,Academic Handbook,Information from Academic Handbook
ACAD-080,"If a student failed Major Degree in 2024 but passed the supplementary exam in 2025, what policy applies?",General,Multi-Hop Retrieval,Hard,Program Regulations,Information from Program Regulations
ACAD-081,Find the minimum CGPA required for Scholarship Renewal and explain any exceptions.,General,Prerequisite Analysis,Medium,Course Catalog,Information from Course Catalog
ACAD-082,"According to the academic handbook, can a student who completed Academic Probation but not Machine Learning enroll in Summer Term?",General,Policy Ambiguity,Medium,Academic Handbook,Information from Academic Handbook
ACAD-083,"Across all versions of the handbook, what changed regarding Thesis Submission between consecutive revisions and which version is authoritative?",General,Table Lookup,Easy,Academic Handbook,Information from Academic Handbook
ACAD-084,"According to the academic handbook, can a student who completed Summer Term but not Capstone Project enroll in Thesis Submission?",General,Prerequisite Analysis,Easy,Program Regulations,Information from Program Regulations
ACAD-085,"Using information from multiple PDFs, determine whether exceptions to Research Project contradict the policy for Thesis Submission.",General,Citation Verification,Easy,Course Catalog,Information from Course Catalog
ACAD-086,Find the minimum CGPA required for Academic Probation and explain any exceptions.,General,Cross-Document Reasoning,Hard,Curriculum Guide,Information from Curriculum Guide
ACAD-087,Find the minimum CGPA required for Semester Withdrawal and explain any exceptions.,General,Policy Ambiguity,Medium,Student Policy Manual,Information from Student Policy Manual
ACAD-088,"List every prerequisite chain leading to Data Structures, including indirect prerequisites and waived conditions.",General,Exam Regulations,Medium,Curriculum Guide,Information from Curriculum Guide
ACAD-089,What is the difference between the attendance requirement stated in Internship Registration and the rule mentioned in Machine Learning?,General,Prerequisite Analysis,Hard,Academic Handbook,Information from Academic Handbook
ACAD-090,Compare the grading policy of Thesis Submission with the grading policy of Capstone Project.,General,Citation Verification,Hard,Course Catalog,Information from Course Catalog
ACAD-091,"Using information from multiple PDFs, determine whether exceptions to Scholarship Renewal contradict the policy for Machine Learning.",General,Citation Verification,Hard,Academic Handbook,Information from Academic Handbook
ACAD-092,Does the latest version of Hostel Allocation override the requirements listed in Research Project?,General,Cross-Document Reasoning,Medium,Multiple Documents,Information from Multiple Documents
ACAD-093,Which document has precedence when Semester Withdrawal conflicts with Data Structures?,General,Acronym Disambiguation,Medium,Academic Handbook,Information from Academic Handbook
ACAD-094,"Using information from multiple PDFs, determine whether exceptions to Internship Registration contradict the policy for Elective Selection.",General,Exam Regulations,Medium,Course Catalog,Information from Course Catalog
ACAD-095,"According to the academic handbook, can a student who completed Semester Withdrawal but not Thesis Submission enroll in Major Degree?",General,Curriculum Rules,Medium,Program Regulations,Information from Program Regulations
ACAD-096,"According to the academic handbook, can a student who completed Elective Selection but not Internship Registration enroll in Research Project?",General,Multi-Hop Retrieval,Hard,Curriculum Guide,Information from Curriculum Guide
ACAD-097,Compare the grading policy of Data Structures with the grading policy of Machine Learning.,General,Curriculum Rules,Easy,Multiple Documents,Information from Multiple Documents
ACAD-098,Compare the grading policy of Minor Degree with the grading policy of Summer Term.,General,Policy Ambiguity,Hard,Academic Handbook,Information from Academic Handbook
ACAD-099,Which document has precedence when Internship Registration conflicts with Hostel Allocation?,General,Cross-Document Reasoning,Easy,Multiple Documents,Information from Multiple Documents
ACAD-100,Identify every document that mentions Capstone Project and explain the differences.,General,Prerequisite Analysis,Medium,Course Catalog,Information from Course Catalog
ACAD-101,"According to the academic handbook, can a student who completed Capstone Project but not Summer Term enroll in Academic Probation?",General,Exam Regulations,Hard,Multiple Documents,Information from Multiple Documents
ACAD-102,Compare the grading policy of Research Project with the grading policy of Elective Selection.,General,Citation Verification,Hard,Academic Handbook,Information from Academic Handbook
ACAD-103,"According to the academic handbook, can a student who completed Course Registration but not Major Degree enroll in Data Structures?",General,Citation Verification,Hard,Course Catalog,Information from Course Catalog
ACAD-104,Which document has precedence when Academic Probation conflicts with Elective Selection?,General,Temporal Reasoning,Easy,Academic Handbook,Information from Academic Handbook
ACAD-105,"Using information from multiple PDFs, determine whether exceptions to Elective Selection contradict the policy for Scholarship Renewal.",General,Acronym Disambiguation,Medium,Academic Handbook,Information from Academic Handbook
ACAD-106,"According to the academic handbook, can a student who completed Scholarship Renewal but not Thesis Submission enroll in Research Project?",General,Citation Verification,Medium,Student Policy Manual,Information from Student Policy Manual
ACAD-107,What is the difference between the attendance requirement stated in Hostel Allocation and the rule mentioned in Academic Probation?,General,Citation Verification,Medium,Student Policy Manual,Information from Student Policy Manual
ACAD-108,Summarize all eligibility conditions for Major Degree using information from multiple academic documents.,General,Acronym Disambiguation,Easy,Student Policy Manual,Information from Student Policy Manual
ACAD-109,Does the latest version of Course Registration override the requirements listed in Elective Selection?,General,Curriculum Rules,Medium,Course Catalog,Information from Course Catalog
ACAD-110,A student satisfies all conditions except Research Project. Can they still apply for Minor Degree?,General,Policy Ambiguity,Medium,Program Regulations,Information from Program Regulations
ACAD-111,Does the latest version of Semester Withdrawal override the requirements listed in Hostel Allocation?,General,Prerequisite Analysis,Easy,Curriculum Guide,Information from Curriculum Guide
ACAD-112,Compare the grading policy of Summer Term with the grading policy of Research Project.,General,Temporal Reasoning,Hard,Program Regulations,Information from Program Regulations
ACAD-113,A student satisfies all conditions except Summer Term. Can they still apply for Hostel Allocation?,General,Acronym Disambiguation,Medium,Curriculum Guide,Information from Curriculum Guide
ACAD-114,"According to the academic handbook, can a student who completed Scholarship Renewal but not Major Degree enroll in Elective Selection?",General,Policy Ambiguity,Easy,Course Catalog,Information from Course Catalog
ACAD-115,A student satisfies all conditions except Thesis Submission. Can they still apply for Internship Registration?,General,Exam Regulations,Easy,Student Policy Manual,Information from Student Policy Manual
ACAD-116,Does the latest version of Thesis Submission override the requirements listed in Internship Registration?,General,Acronym Disambiguation,Easy,Multiple Documents,Information from Multiple Documents
ACAD-117,Compare the grading policy of Capstone Project with the grading policy of Hostel Allocation.,General,Citation Verification,Easy,Academic Handbook,Information from Academic Handbook
ACAD-118,Which document has precedence when Course Registration conflicts with Internship Registration?,General,Prerequisite Analysis,Hard,Course Catalog,Information from Course Catalog
ACAD-119,What is the difference between the attendance requirement stated in Summer Term and the rule mentioned in Data Structures?,General,Table Lookup,Medium,Curriculum Guide,Information from Curriculum Guide
ACAD-120,"Using information from multiple PDFs, determine whether exceptions to Academic Probation contradict the policy for Capstone Project.",General,Acronym Disambiguation,Hard,Multiple Documents,Information from Multiple Documents
ACAD-121,Which document has precedence when Course Registration conflicts with Research Project?,General,Acronym Disambiguation,Easy,Course Catalog,Information from Course Catalog
ACAD-122,Does the latest version of Research Project override the requirements listed in Summer Term?,General,Citation Verification,Easy,Multiple Documents,Information from Multiple Documents
ACAD-123,"According to the academic handbook, can a student who completed Research Project but not Minor Degree enroll in Hostel Allocation?",General,Prerequisite Analysis,Medium,Curriculum Guide,Information from Curriculum Guide
ACAD-124,Compare the grading policy of Hostel Allocation with the grading policy of Course Registration.,General,Exam Regulations,Easy,Curriculum Guide,Information from Curriculum Guide
ACAD-125,"According to the academic handbook, can a student who completed Summer Term but not Hostel Allocation enroll in Scholarship Renewal?",General,Prerequisite Analysis,Hard,Student Policy Manual,Information from Student Policy Manual
ACAD-126,"According to the academic handbook, can a student who completed Minor Degree but not Data Structures enroll in Academic Probation?",General,Policy Ambiguity,Hard,Academic Handbook,Information from Academic Handbook
ACAD-127,Which document has precedence when Thesis Submission conflicts with Scholarship Renewal?,General,Table Lookup,Easy,Multiple Documents,Information from Multiple Documents
ACAD-128,What is the difference between the attendance requirement stated in Machine Learning and the rule mentioned in Elective Selection?,General,Table Lookup,Easy,Curriculum Guide,Information from Curriculum Guide
ACAD-129,"According to the academic handbook, can a student who completed Data Structures but not Scholarship Renewal enroll in Research Project?",General,Citation Verification,Hard,Multiple Documents,Information from Multiple Documents
ACAD-130,A student satisfies all conditions except Minor Degree. Can they still apply for Machine Learning?,General,Curriculum Rules,Hard,Program Regulations,Information from Program Regulations
ACAD-131,"According to the academic handbook, can a student who completed Capstone Project but not Semester Withdrawal enroll in Major Degree?",General,Exam Regulations,Medium,Course Catalog,Information from Course Catalog
ACAD-132,Identify every document that mentions Elective Selection and explain the differences.,General,Temporal Reasoning,Medium,Course Catalog,Information from Course Catalog
ACAD-133,Which document has precedence when Hostel Allocation conflicts with Thesis Submission?,General,Exam Regulations,Easy,Student Policy Manual,Information from Student Policy Manual
ACAD-134,"According to the academic handbook, can a student who completed Major Degree but not Research Project enroll in Course Registration?",General,Multi-Hop Retrieval,Hard,Curriculum Guide,Information from Curriculum Guide
ACAD-135,"According to the academic handbook, can a student who completed Elective Selection but not Hostel Allocation enroll in Academic Probation?",General,Multi-Hop Retrieval,Easy,Course Catalog,Information from Course Catalog
ACAD-136,"Using information from multiple PDFs, determine whether exceptions to Thesis Submission contradict the policy for Academic Probation.",General,Table Lookup,Hard,Curriculum Guide,Information from Curriculum Guide
ACAD-137,Which document has precedence when Summer Term conflicts with Semester Withdrawal?,General,Curriculum Rules,Medium,Program Regulations,Information from Program Regulations
ACAD-138,"According to the academic handbook, can a student who completed Thesis Submission but not Semester Withdrawal enroll in Machine Learning?",General,Multi-Hop Retrieval,Medium,Multiple Documents,Information from Multiple Documents
ACAD-139,What is the difference between the attendance requirement stated in Semester Withdrawal and the rule mentioned in Thesis Submission?,General,Table Lookup,Easy,Academic Handbook,Information from Academic Handbook
ACAD-140,What is the difference between the attendance requirement stated in Capstone Project and the rule mentioned in Research Project?,General,Citation Verification,Medium,Student Policy Manual,Information from Student Policy Manual
ACAD-141,Compare the grading policy of Machine Learning with the grading policy of Internship Registration.,General,Cross-Document Reasoning,Hard,Course Catalog,Information from Course Catalog
ACAD-142,A student satisfies all conditions except Data Structures. Can they still apply for Research Project?,General,Multi-Hop Retrieval,Hard,Program Regulations,Information from Program Regulations
ACAD-143,Which document has precedence when Summer Term conflicts with Machine Learning?,General,Exam Regulations,Easy,Academic Handbook,Information from Academic Handbook
ACAD-144,Compare the grading policy of Course Registration with the grading policy of Minor Degree.,General,Table Lookup,Hard,Multiple Documents,Information from Multiple Documents
ACAD-145,"According to the academic handbook, can a student who completed Thesis Submission but not Research Project enroll in Minor Degree?",General,Exam Regulations,Easy,Academic Handbook,Information from Academic Handbook
ACAD-146,"According to the academic handbook, can a student who completed Thesis Submission but not Data Structures enroll in Capstone Project?",General,Acronym Disambiguation,Medium,Student Policy Manual,Information from Student Policy Manual
ACAD-147,"According to the academic handbook, can a student who completed Data Structures but not Machine Learning enroll in Internship Registration?",General,Prerequisite Analysis,Easy,Student Policy Manual,Information from Student Policy Manual
ACAD-148,What is the difference between the attendance requirement stated in Minor Degree and the rule mentioned in Scholarship Renewal?,General,Acronym Disambiguation,Medium,Multiple Documents,Information from Multiple Documents
ACAD-149,"Using information from multiple PDFs, determine whether exceptions to Data Structures contradict the policy for Course Registration.",General,Table Lookup,Easy,Multiple Documents,Information from Multiple Documents
ACAD-150,"According to the academic handbook, can a student who completed Hostel Allocation but not Thesis Submission enroll in Scholarship Renewal?",General,Acronym Disambiguation,Medium,Multiple Documents,Information from Multiple Documents
ACAD-151,"According to the academic handbook, can a student who completed Capstone Project but not Academic Probation enroll in Machine Learning?",General,Policy Ambiguity,Medium,Program Regulations,Information from Program Regulations
ACAD-152,"Using information from multiple PDFs, determine whether exceptions to Major Degree contradict the policy for Summer Term.",General,Curriculum Rules,Medium,Course Catalog,Information from Course Catalog
ACAD-153,"According to the academic handbook, can a student who completed Course Registration but not Internship Registration enroll in Hostel Allocation?",General,Cross-Document Reasoning,Easy,Academic Handbook,Information from Academic Handbook
ACAD-154,Identify every document that mentions Scholarship Renewal and explain the differences.,General,Curriculum Rules,Hard,Student Policy Manual,Information from Student Policy Manual
ACAD-155,"According to the academic handbook, can a student who completed Research Project but not Data Structures enroll in Minor Degree?",General,Table Lookup,Hard,Curriculum Guide,Information from Curriculum Guide
ACAD-156,Does the latest version of Scholarship Renewal override the requirements listed in Thesis Submission?,General,Exam Regulations,Hard,Curriculum Guide,Information from Curriculum Guide
ACAD-157,Does the latest version of Internship Registration override the requirements listed in Data Structures?,General,Policy Ambiguity,Medium,Program Regulations,Information from Program Regulations
ACAD-158,What is the difference between the attendance requirement stated in Thesis Submission and the rule mentioned in Summer Term?,General,Temporal Reasoning,Medium,Student Policy Manual,Information from Student Policy Manual
ACAD-159,"According to the academic handbook, can a student who completed Semester Withdrawal but not Data Structures enroll in Elective Selection?",General,Prerequisite Analysis,Medium,Curriculum Guide,Information from Curriculum Guide
ACAD-160,A student satisfies all conditions except Semester Withdrawal. Can they still apply for Data Structures?,General,Temporal Reasoning,Medium,Academic Handbook,Information from Academic Handbook
ACAD-161,Does the latest version of Data Structures override the requirements listed in Capstone Project?,General,Exam Regulations,Medium,Student Policy Manual,Information from Student Policy Manual
ACAD-162,"According to the academic handbook, can a student who completed Data Structures but not Academic Probation enroll in Elective Selection?",General,Cross-Document Reasoning,Hard,Multiple Documents,Information from Multiple Documents
ACAD-163,"Using information from multiple PDFs, determine whether exceptions to Machine Learning contradict the policy for Research Project.",General,Acronym Disambiguation,Easy,Multiple Documents,Information from Multiple Documents
ACAD-164,A student satisfies all conditions except Hostel Allocation. Can they still apply for Summer Term?,General,Policy Ambiguity,Easy,Course Catalog,Information from Course Catalog
ACAD-165,"According to the academic handbook, can a student who completed Scholarship Renewal but not Course Registration enroll in Summer Term?",General,Temporal Reasoning,Easy,Student Policy Manual,Information from Student Policy Manual
ACAD-166,A student satisfies all conditions except Scholarship Renewal. Can they still apply for Course Registration?,General,Acronym Disambiguation,Easy,Curriculum Guide,Information from Curriculum Guide
ACAD-167,"According to the academic handbook, can a student who completed Academic Probation but not Thesis Submission enroll in Course Registration?",General,Exam Regulations,Hard,Curriculum Guide,Information from Curriculum Guide
ACAD-168,A student satisfies all conditions except Academic Probation. Can they still apply for Course Registration?,General,Multi-Hop Retrieval,Easy,Program Regulations,Information from Program Regulations
ACAD-169,"According to the academic handbook, can a student who completed Academic Probation but not Research Project enroll in Data Structures?",General,Curriculum Rules,Medium,Student Policy Manual,Information from Student Policy Manual
ACAD-170,"According to the academic handbook, can a student who completed Scholarship Renewal but not Summer Term enroll in Major Degree?",General,Curriculum Rules,Hard,Program Regulations,Information from Program Regulations
